Sale_Date,Model,Segment,Fuel_Type,Transmission,State,Dealer_City,Channel,Units_Sold,Ex_Showroom_Price,Prev_Year_Units
2026-07-10,Alto,Mini,PETROL,AMT,Maharashtra,"Maharashtra City 1",OEM,79,453103,63
2026-07-04,S-Presso,Mini,CNG,AMT,"Uttar Pradesh","Uttar Pradesh City 5",Export,180,464053,109
2026-07-13,Ertiga,UV,CNG,AMT,Bihar,"Bihar City 5",Domestic,83,1168125,66
2026-07-06,Alto,Mini,CNG,AMT,Punjab,"Punjab City 5",Domestic,79,428556,50
2026-07-07,Dzire,Compact,PETROL,Automatic,"Tamil Nadu","Tamil Nadu City 2",Domestic,216,734572,124
2026-07-09,Brezza,UV,CNG,AMT,"Uttar Pradesh","Uttar Pradesh City 5",Domestic,115,1177978,91
2026-07-02,Eeco,Van,PETROL,AMT,"Madhya Pradesh","Madhya Pradesh City 4",Domestic,51,596720,36
2026-07-22,Dzire,Compact,PETROL,AMT,"Uttar Pradesh","Uttar Pradesh City 3",Domestic,87,720776,81
2026-07-08,S-Presso,Mini,CNG,Manual,Kerala,"Kerala City 2",Domestic,188,526509,141
2026-07-05,S-Presso,Mini,CNG,AMT,Rajasthan,"Rajasthan City 5",Domestic,215,450672,142
2026-07-13,ertiga,UV,CNG,Manual,Punjab,"Punjab City 2",OEM,103,992453,91
2026-07-16,alto,Mini,PETROL,Automatic,Haryana,"Haryana City 3",Domestic,117,446138,88
2026-07-13,"Grand Vitara",UV,PETROL,AMT,Bihar,"Bihar City 5",Domestic,86,1787246,72
2026-07-04,Eeco,Van,PETROL,AMT,Karnataka,"Karnataka City 3",Domestic,16,562516,13
2026-07-13,Fronx,UV,PETROL,AMT,"Andhra Pradesh","Andhra Pradesh City 5",Domestic,64,1263550,51
2026-07-19,Celerio,Compact,CNG,Automatic,Gujarat,"Gujarat City 4",Domestic,55,660845,49
2026-07-19,"Grand Vitara",UV,PETROL,Automatic,Punjab,"Punjab City 4",Domestic,203,1967665,130
2026-07-21,"Grand Vitara",UV,PETROL,AMT,Telangana,"Telangana City 4",Domestic,153,1512584,128
2026-07-09,"Wagon R",Compact,CNG,AMT,Telangana,"Telangana City 3",Export,91,610191,67
2026-07-26,Dzire,Compact,PETROL,AMT,"Madhya Pradesh","Madhya Pradesh City 1",Domestic,99,797448,77
2026-07-03,"Grand Vitara",UV,HYBRID,Automatic,Gujarat,"Gujarat City 4",Domestic,40,1177549,37
2026-07-18,dzire,Compact,PETROL,AMT,Kerala,"Kerala City 1",Domestic,162,873970,149
2026-07-21,Baleno,Compact,PETROL,AMT,Gujarat,"Gujarat City 2",Domestic,215,918402,126
2026-07-25,brezza,UV,PETROL,Automatic,"Tamil Nadu","Tamil Nadu City 2",Domestic,203,994721,175
2026-07-01,Baleno,Compact,PETROL,Automatic,Rajasthan,"Rajasthan City 1",Domestic,72,707472,43
2026-07-02,Victoris,UV,HYBRID,AMT,Kerala,"Kerala City 1",Domestic,127,1938456,90
2026-07-19,Brezza,UV,CNG,AMT,Haryana,"Haryana City 5",Domestic,121,1370108,95
2026-07-14,Baleno,Compact,CNG,AMT,Delhi,"Delhi City 1",Domestic,114,843852,93
2026-07-05,Brezza,UV,PETROL,Automatic,"Madhya Pradesh","Madhya Pradesh City 5",Domestic,176,968168,125
2026-07-05,"Grand Vitara",UV,HYBRID,Manual,Bihar,"Bihar City 1",Domestic,147,1515415,87
2026-07-30,"grand vitara",UV,HYBRID,Manual,Karnataka,"Karnataka City 3",Export,200,1453993,183
2026-07-07,Dzire,Compact,CNG,AMT,Rajasthan,"Rajasthan City 2",Domestic,84,830070,72
2026-07-07,Eeco,Van,PETROL,AMT,Gujarat,"Gujarat City 3",Domestic,6,585193,5
2026-07-14,Alto,Mini,CNG,Manual,Bihar,"Bihar City 3",OEM,114,526017,95
2026-07-14,S-Presso,Mini,PETROL,AMT,Haryana,"Haryana City 4",OEM,25,553747,22
2026-07-24,"grand vitara",UV,PETROL,Manual,"Uttar Pradesh","Uttar Pradesh City 2",Domestic,55,1311926,43
2026-07-21,"Grand Vitara",UV,HYBRID,Automatic,Rajasthan,"Rajasthan City 2",Domestic,22,1621699,15
2026-07-21,S-Presso,Mini,CNG,AMT,Haryana,"Haryana City 5",Export,15,567894,13
2026-07-23,S-Presso,Mini,PETROL,Manual,"Tamil Nadu","Tamil Nadu City 4",Domestic,139,587035,110
2026-07-04,Brezza,UV,CNG,AMT,Gujarat,"Gujarat City 5",Domestic,90,925461,70
2026-07-21,eeco,Van,CNG,Manual,Kerala,"Kerala City 5",Domestic,170,607878,122
2026-07-10,Eeco,Van,PETROL,Automatic,Telangana,"Telangana City 5",Export,139,524947,113
2026-07-14,Baleno,Compact,PETROL,AMT,Haryana,"Haryana City 3",Export,205,915367,131
2026-07-10,Eeco,Van,CNG,Automatic,"Madhya Pradesh","Madhya Pradesh City 4",Domestic,214,546174,186
2026-07-03,Eeco,Van,PETROL,AMT,"West Bengal","West Bengal City 5",Domestic,217,577340,127
2026-07-08,Alto,Mini,CNG,,Bihar,"Bihar City 3",Domestic,40,430040,26
2026-07-18,Victoris,UV,HYBRID,Manual,Telangana,"Telangana City 3",Domestic,82,1177767,46
2026-07-23,"Wagon R",Compact,CNG,AMT,Maharashtra,"Maharashtra City 5",Domestic,66,729596,47
2026-07-28,Ertiga,UV,PETROL,Automatic,Delhi,"Delhi City 3",Domestic,196,878515,135
2026-07-27,"Grand Vitara",UV,PETROL,Automatic,"West Bengal","West Bengal City 4",Export,51,1980916,30
2026-07-27,Brezza,UV,CNG,AMT,Maharashtra,"Maharashtra City 2",Domestic,96,890126,86
2026-07-23,Ertiga,UV,CNG,Automatic,Gujarat,"Gujarat City 1",Export,113,911380,81
2026-07-12,ertiga,UV,PETROL,Automatic,Bihar,"Bihar City 3",OEM,116,1013946,93
2026-07-26,ertiga,UV,PETROL,Manual,"Uttar Pradesh","Uttar Pradesh City 2",Export,98,1059871,68
2026-07-11,"Grand Vitara",UV,HYBRID,Manual,"Uttar Pradesh","Uttar Pradesh City 1",Export,52,1653285,39
2026-07-05,s-presso,Mini,CNG,Manual,"Andhra Pradesh","Andhra Pradesh City 4",Domestic,212,533778,173
2026-07-17,Swift,Compact,PETROL,Manual,Telangana,"Telangana City 2",Domestic,207,779504,116
2026-07-16,Brezza,UV,CNG,AMT,Bihar,"Bihar City 5",Domestic,37,1172427,29
2026-07-17,Alto,Mini,PETROL,Automatic,Karnataka,"Karnataka City 3",Domestic,46,504583,42
2026-07-10,Fronx,UV,PETROL,Automatic,Kerala,"Kerala City 2",OEM,153,941684,94
2026-07-19,Celerio,Compact,PETROL,Automatic,Delhi,"Delhi City 5",Export,12,690557,10
2026-07-15,Dzire,Compact,CNG,AMT,"Tamil Nadu","Tamil Nadu City 3",OEM,41,823883,36
2026-07-09,Ertiga,UV,PETROL,Manual,"Uttar Pradesh","Uttar Pradesh City 1",Domestic,103,1192635,73
2026-07-16,Alto,Mini,PETROL,AMT,"Madhya Pradesh","Madhya Pradesh City 4",Domestic,60,512509,34
2026-07-24,baleno,Compact,CNG,AMT,Maharashtra,"Maharashtra City 4",Domestic,150,782055,104
2026-07-13,baleno,Compact,CNG,Automatic,Rajasthan,"Rajasthan City 2",Domestic,159,946926,112
2026-07-20,Baleno,Compact,PETROL,AMT,Haryana,"Haryana City 3",OEM,91,945979,80
2026-07-29,Victoris,UV,PETROL,Automatic,"West Bengal","West Bengal City 3",Export,205,1863864,160
2026-07-02,Fronx,UV,PETROL,Manual,Maharashtra,"Maharashtra City 4",Domestic,112,938787,80
2026-07-11,"Grand Vitara",UV,HYBRID,Automatic,Delhi,"Delhi City 3",Domestic,122,2086431,93
2026-07-18,Celerio,Compact,PETROL,AMT,Telangana,"Telangana City 3",Export,58,688189,39
2026-07-12,Eeco,Van,PETROL,AMT,Maharashtra,"Maharashtra City 3",Export,25,565398,22
2026-07-19,Swift,Compact,PETROL,Manual,Kerala,"Kerala City 5",Domestic,168,711036,95
2026-07-29,Ertiga,UV,CNG,,"Tamil Nadu","Tamil Nadu City 3",Domestic,78,1208636,44
2026-07-30,Alto,Mini,CNG,AMT,Karnataka,"Karnataka City 3",Domestic,7,498221,5
2026-07-09,Swift,Compact,PETROL,AMT,Karnataka,"Karnataka City 4",Export,70,838376,43
2026-07-23,Swift,Compact,PETROL,Automatic,"Uttar Pradesh","Uttar Pradesh City 4",Domestic,45,756277,37
2026-07-15,Victoris,UV,HYBRID,AMT,Punjab,"Punjab City 5",Domestic,198,1613628,172
2026-07-04,Alto,Mini,PETROL,Automatic,"Madhya Pradesh","Madhya Pradesh City 2",Domestic,88,556404,63
2026-07-02,Brezza,UV,CNG,Automatic,Telangana,"Telangana City 3",Export,10,1255182,6
2026-07-30,Ertiga,UV,PETROL,AMT,Delhi,"Delhi City 2",Domestic,201,1206343,189
2026-07-28,Brezza,UV,PETROL,Automatic,Bihar,"Bihar City 3",Domestic,50,1252151,38
2026-07-08,Swift,Compact,CNG,AMT,Karnataka,"Karnataka City 3",Domestic,190,850668,113
2026-07-23,Alto,Mini,PETROL,Automatic,Maharashtra,"Maharashtra City 4",Domestic,64,476955,54
2026-07-08,Celerio,Compact,PETROL,Automatic,"Madhya Pradesh","Madhya Pradesh City 2",Domestic,81,632129,46
2026-07-26,Brezza,UV,CNG,Automatic,Delhi,"Delhi City 4",Domestic,81,1234747,50
2026-07-18,Brezza,UV,PETROL,AMT,"Tamil Nadu","Tamil Nadu City 3",Domestic,89,922911,81
2026-07-25,Fronx,UV,PETROL,AMT,"Tamil Nadu","Tamil Nadu City 3",Domestic,8,1002096,7
2026-07-25,Celerio,Compact,CNG,AMT,"Madhya Pradesh","Madhya Pradesh City 3",Domestic,71,654278,53
2026-07-28,Swift,Compact,PETROL,Manual,Gujarat,"Gujarat City 5",OEM,153,838746,109
2026-07-16,Victoris,UV,HYBRID,,Karnataka,"Karnataka City 3",Domestic,40,1805303,30
2026-07-25,Alto,Mini,CNG,Manual,Bihar,"Bihar City 2",Domestic,186,459591,102
2026-07-14,Alto,Mini,PETROL,Automatic,Punjab,"Punjab City 3",OEM,78,424493,58
2026-07-27,Baleno,Compact,CNG,AMT,"Uttar Pradesh","Uttar Pradesh City 3",Domestic,122,807510,115
2026-07-16,Alto,Mini,PETROL,Automatic,Karnataka,"Karnataka City 1",Domestic,116,506840,90
2026-07-22,Celerio,Compact,PETROL,Manual,"Andhra Pradesh","Andhra Pradesh City 3",Domestic,58,713887,35
2026-07-13,Eeco,Van,PETROL,Automatic,Punjab,"Punjab City 1",OEM,195,565332,111
2026-07-26,Ertiga,UV,CNG,Manual,Rajasthan,"Rajasthan City 5",Domestic,115,967380,94
2026-07-05,Victoris,UV,HYBRID,AMT,Rajasthan,"Rajasthan City 1",Domestic,6,1373241,4
2026-07-20,Fronx,UV,HYBRID,AMT,Maharashtra,"Maharashtra City 3",Domestic,104,868813,87
2026-07-13,Eeco,Van,CNG,AMT,Rajasthan,"Rajasthan City 4",Export,157,537842,105
2026-07-19,Eeco,Van,PETROL,AMT,Delhi,"Delhi City 3",Domestic,98,534927,90
2026-07-10,Victoris,UV,PETROL,AMT,Kerala,"Kerala City 4",Domestic,167,1367543,108
2026-07-28,Victoris,UV,HYBRID,Automatic,Maharashtra,"Maharashtra City 3",Export,212,1612986,166
2026-07-31,Eeco,Van,CNG,AMT,"Uttar Pradesh","Uttar Pradesh City 1",Domestic,71,549098,53
2026-07-01,Ertiga,UV,PETROL,AMT,Delhi,"Delhi City 1",Domestic,217,944278,149
2026-07-26,Victoris,UV,PETROL,Manual,Bihar,"Bihar City 3",Export,32,1760032,27
2026-07-21,"Grand Vitara",UV,HYBRID,AMT,Maharashtra,"Maharashtra City 5",Domestic,120,1750970,86
2026-07-11,Swift,Compact,CNG,Manual,Gujarat,"Gujarat City 4",OEM,168,732157,132
2026-07-19,S-Presso,Mini,PETROL,AMT,"Uttar Pradesh","Uttar Pradesh City 2",Domestic,34,497984,23
2026-07-06,Brezza,UV,PETROL,AMT,Gujarat,"Gujarat City 2",Domestic,85,1312908,67
2026-07-23,Ertiga,UV,CNG,Manual,"Uttar Pradesh","Uttar Pradesh City 5",Domestic,208,985620,138
2026-07-09,Eeco,Van,CNG,Automatic,Bihar,"Bihar City 1",Export,117,591611,74
2026-07-15,S-Presso,Mini,PETROL,Manual,Telangana,"Telangana City 5",Export,94,562241,57
2026-07-10,Celerio,Compact,CNG,Automatic,"Andhra Pradesh","Andhra Pradesh City 1",Domestic,197,667897,180
2026-07-16,"Wagon R",Compact,CNG,Automatic,Delhi,"Delhi City 4",Domestic,24,746101,20
2026-07-28,Victoris,UV,PETROL,Automatic,"West Bengal","West Bengal City 3",Domestic,208,1610384,147
2026-07-29,"grand vitara",UV,PETROL,Manual,"Uttar Pradesh","Uttar Pradesh City 4",Domestic,36,2029312,22
2026-07-08,Brezza,UV,CNG,Manual,Maharashtra,"Maharashtra City 3",Domestic,113,978595,83
2026-07-05,"Grand Vitara",UV,PETROL,Manual,"Madhya Pradesh","Madhya Pradesh City 5",Domestic,161,1811595,99
2026-07-25,S-Presso,Mini,CNG,AMT,Delhi,"Delhi City 3",Domestic,68,522605,54
2026-07-17,Fronx,UV,PETROL,,Delhi,"Delhi City 3",Export,18,1030967,13
2026-07-27,fronx,UV,HYBRID,AMT,"Madhya Pradesh","Madhya Pradesh City 2",Domestic,202,856537,112
2026-07-14,victoris,UV,HYBRID,Manual,Kerala,"Kerala City 5",OEM,162,1210097,107
2026-07-21,S-Presso,Mini,CNG,Automatic,Delhi,"Delhi City 2",Domestic,67,472600,61
2026-07-06,Ertiga,UV,CNG,Automatic,"Madhya Pradesh","Madhya Pradesh City 3",Domestic,100,936548,84
2026-07-21,S-Presso,Mini,CNG,AMT,"Madhya Pradesh","Madhya Pradesh City 3",Domestic,132,598605,81
2026-07-08,Alto,Mini,CNG,AMT,Delhi,"Delhi City 2",Domestic,14,529935,8
2026-07-26,Brezza,UV,PETROL,AMT,"Uttar Pradesh","Uttar Pradesh City 4",Domestic,203,1165790,138
2026-07-24,Celerio,Compact,PETROL,Manual,"Madhya Pradesh","Madhya Pradesh City 2",Domestic,130,575701,122
2026-07-03,Fronx,UV,PETROL,Automatic,Karnataka,"Karnataka City 4",Domestic,156,845308,112
2026-07-03,Swift,Compact,PETROL,Automatic,"Uttar Pradesh","Uttar Pradesh City 2",Domestic,47,767851,34
2026-07-10,Victoris,UV,PETROL,Manual,Bihar,"Bihar City 3",Domestic,28,1795702,18
2026-07-18,Swift,Compact,PETROL,AMT,"Uttar Pradesh","Uttar Pradesh City 2",Domestic,8,666166,7
2026-07-01,s-presso,Mini,PETROL,Automatic,"West Bengal","West Bengal City 2",Domestic,217,536913,129
2026-07-30,"Wagon R",Compact,CNG,AMT,"West Bengal","West Bengal City 2",Domestic,162,742313,129
2026-07-17,Swift,Compact,PETROL,AMT,Telangana,"Telangana City 3",Domestic,144,854848,107
2026-07-16,brezza,UV,CNG,Automatic,"Tamil Nadu","Tamil Nadu City 2",Domestic,68,1092867,44
2026-07-06,Swift,Compact,CNG,Automatic,Punjab,"Punjab City 3",OEM,12,834405,9
2026-07-03,Alto,Mini,PETROL,Automatic,"Tamil Nadu","Tamil Nadu City 1",OEM,127,420179,86
2026-07-30,"Wagon R",Compact,PETROL,Automatic,Bihar,"Bihar City 3",Domestic,100,764690,92
2026-07-11,"Wagon R",Compact,CNG,Manual,Kerala,"Kerala City 5",Domestic,101,660431,85
2026-07-20,Baleno,Compact,PETROL,Automatic,Haryana,"Haryana City 1",Domestic,41,853627,34
2026-07-01,Celerio,Compact,PETROL,Manual,Punjab,"Punjab City 1",Domestic,70,588320,58
2026-07-16,eeco,Van,PETROL,Manual,"West Bengal","West Bengal City 1",Domestic,80,522631,54
2026-07-20,Ertiga,UV,PETROL,AMT,Kerala,"Kerala City 2",OEM,116,952367,66
2026-07-02,Dzire,Compact,CNG,Manual,Maharashtra,"Maharashtra City 3",Domestic,114,705942,76
2026-07-26,Dzire,Compact,CNG,AMT,"Andhra Pradesh","Andhra Pradesh City 3",Domestic,169,945278,119
2026-07-25,victoris,UV,PETROL,Manual,Kerala,"Kerala City 3",OEM,110,1843202,86
2026-07-10,S-Presso,Mini,CNG,Automatic,Maharashtra,"Maharashtra City 5",OEM,137,599811,112
2026-07-19,Brezza,UV,CNG,Manual,Delhi,"Delhi City 2",Domestic,150,945071,137
2026-07-16,Alto,Mini,PETROL,AMT,Delhi,"Delhi City 2",OEM,160,525308,90
2026-07-27,Ertiga,UV,PETROL,Manual,Karnataka,"Karnataka City 3",Export,118,1038227,77
2026-07-02,Brezza,UV,PETROL,,Gujarat,"Gujarat City 5",Domestic,39,1389753,35
2026-07-12,Ertiga,UV,CNG,Automatic,"Andhra Pradesh","Andhra Pradesh City 1",Export,12,996845,8
2026-07-03,Celerio,Compact,PETROL,AMT,Maharashtra,"Maharashtra City 2",OEM,204,616182,182
2026-07-05,"Grand Vitara",UV,PETROL,Automatic,Telangana,"Telangana City 1",Domestic,69,1767894,60
2026-07-17,Fronx,UV,HYBRID,Automatic,"Uttar Pradesh","Uttar Pradesh City 1",OEM,174,1172408,134
2026-07-23,"Grand Vitara",UV,HYBRID,Manual,Karnataka,"Karnataka City 5",Domestic,19,1974554,16
2026-07-24,Alto,Mini,PETROL,AMT,Punjab,"Punjab City 2",Export,141,544711,128
2026-07-24,Eeco,Van,PETROL,Automatic,"Andhra Pradesh","Andhra Pradesh City 3",Export,27,549131,18
2026-07-21,fronx,UV,PETROL,AMT,"Andhra Pradesh","Andhra Pradesh City 2",OEM,35,1180209,26
2026-07-11,Victoris,UV,PETROL,Manual,"West Bengal","West Bengal City 3",Export,50,1378638,40
2026-07-14,"Grand Vitara",UV,HYBRID,AMT,Delhi,"Delhi City 4",Domestic,6,1169557,4
2026-07-23,Baleno,Compact,CNG,Manual,"Uttar Pradesh","Uttar Pradesh City 4",OEM,155,840492,95
2026-07-29,Ertiga,UV,CNG,Manual,Karnataka,"Karnataka City 4",Domestic,63,987608,52
2026-07-25,Brezza,UV,PETROL,Automatic,Maharashtra,"Maharashtra City 1",Export,219,860700,124
2026-07-22,S-Presso,Mini,CNG,Automatic,Haryana,"Haryana City 2",Domestic,217,477502,163
2026-07-23,dzire,Compact,CNG,Manual,Maharashtra,"Maharashtra City 5",Domestic,58,912006,39
2026-07-24,S-Presso,Mini,CNG,Automatic,"Tamil Nadu","Tamil Nadu City 4",Domestic,72,571707,41
2026-07-01,"Wagon R",Compact,PETROL,AMT,Rajasthan,"Rajasthan City 4",OEM,73,772169,42
2026-07-26,"Wagon R",Compact,PETROL,Manual,Punjab,"Punjab City 1",Domestic,31,689059,28
2026-07-29,"wagon r",Compact,CNG,AMT,"Uttar Pradesh","Uttar Pradesh City 4",Domestic,16,596603,10
2026-07-17,Brezza,UV,PETROL,AMT,Kerala,"Kerala City 2",Domestic,93,1243572,56
2026-07-25,Ertiga,UV,CNG,Manual,Rajasthan,"Rajasthan City 3",Domestic,134,986762,103
2026-07-16,Victoris,UV,PETROL,Manual,Delhi,"Delhi City 4",Domestic,147,1625771,80
2026-07-27,Alto,Mini,PETROL,AMT,Rajasthan,"Rajasthan City 5",OEM,158,544029,132
2026-07-17,Baleno,Compact,PETROL,Manual,"Andhra Pradesh","Andhra Pradesh City 2",Domestic,40,894544,23
2026-07-02,"grand vitara",UV,PETROL,AMT,"West Bengal","West Bengal City 5",OEM,39,1653059,21
2026-07-24,"Wagon R",Compact,PETROL,AMT,Kerala,"Kerala City 5",OEM,87,712149,78
2026-07-14,Fronx,UV,HYBRID,Automatic,"Madhya Pradesh","Madhya Pradesh City 3",Export,193,1007900,121
2026-07-21,Baleno,Compact,PETROL,,"Madhya Pradesh","Madhya Pradesh City 4",OEM,151,898878,123
2026-07-25,Eeco,Van,PETROL,AMT,Kerala,"Kerala City 3",Domestic,219,528130,180
2026-07-21,Brezza,UV,CNG,Manual,"Madhya Pradesh","Madhya Pradesh City 3",Export,175,889261,161
2026-07-28,Ertiga,UV,PETROL,Automatic,Punjab,"Punjab City 3",OEM,144,1186348,90
2026-07-14,celerio,Compact,CNG,Manual,Karnataka,"Karnataka City 5",Domestic,6,646655,4
2026-07-18,Baleno,Compact,PETROL,Automatic,Rajasthan,"Rajasthan City 5",Domestic,52,715744,44
2026-07-25,Fronx,UV,HYBRID,Automatic,Bihar,"Bihar City 1",Domestic,176,1142814,128
2026-07-18,victoris,UV,HYBRID,Manual,"Andhra Pradesh","Andhra Pradesh City 5",Domestic,136,1891814,102
2026-07-01,"Grand Vitara",UV,PETROL,Manual,Kerala,"Kerala City 2",Export,113,2006258,66
2026-07-23,Baleno,Compact,PETROL,Manual,"Uttar Pradesh","Uttar Pradesh City 1",Domestic,208,812072,160
2026-07-01,"Grand Vitara",UV,PETROL,Automatic,Haryana,"Haryana City 1",Export,23,1505075,21
2026-07-06,Brezza,UV,PETROL,Manual,Punjab,"Punjab City 4",OEM,80,991074,53
2026-07-18,S-Presso,Mini,CNG,Manual,Punjab,"Punjab City 3",Domestic,110,584362,66
2026-07-18,Ertiga,UV,PETROL,AMT,Kerala,"Kerala City 1",Domestic,30,973503,25
2026-07-11,Fronx,UV,HYBRID,Automatic,Haryana,"Haryana City 2",OEM,150,1162199,130
2026-07-11,Ertiga,UV,CNG,AMT,Rajasthan,"Rajasthan City 3",Domestic,146,927059,90
2026-07-29,Alto,Mini,PETROL,Automatic,Haryana,"Haryana City 4",OEM,59,429609,45
2026-07-05,Ertiga,UV,PETROL,AMT,Rajasthan,"Rajasthan City 5",Domestic,174,995242,154
2026-07-24,Ertiga,UV,CNG,Manual,"Tamil Nadu","Tamil Nadu City 4",Domestic,21,1008599,14
2026-07-04,Victoris,UV,HYBRID,Automatic,Gujarat,"Gujarat City 5",OEM,150,1232294,105
2026-07-28,baleno,Compact,CNG,AMT,"Andhra Pradesh","Andhra Pradesh City 5",Domestic,133,752859,96
2026-07-26,Baleno,Compact,PETROL,AMT,Kerala,"Kerala City 4",Domestic,58,764539,46
2026-07-09,"Wagon R",Compact,CNG,Automatic,Haryana,"Haryana City 1",Export,191,753472,167
2026-07-25,"Wagon R",Compact,CNG,Manual,Punjab,"Punjab City 3",Domestic,157,734821,90
2026-07-16,Fronx,UV,PETROL,Automatic,"Madhya Pradesh","Madhya Pradesh City 1",Domestic,128,916659,116
2026-07-08,Eeco,Van,CNG,AMT,Rajasthan,"Rajasthan City 5",Export,199,629732,164
2026-07-01,Victoris,UV,PETROL,Automatic,"Madhya Pradesh","Madhya Pradesh City 1",OEM,6,1443247,4
2026-07-20,Celerio,Compact,CNG,Manual,Delhi,"Delhi City 5",OEM,128,606850,89
2026-07-08,Ertiga,UV,PETROL,,"Tamil Nadu","Tamil Nadu City 5",Domestic,206,1047438,179
2026-07-14,S-Presso,Mini,PETROL,AMT,"Tamil Nadu","Tamil Nadu City 3",Domestic,160,459897,134
2026-07-07,"Grand Vitara",UV,HYBRID,Manual,Maharashtra,"Maharashtra City 5",OEM,137,1862377,88
2026-07-13,Fronx,UV,PETROL,Automatic,Maharashtra,"Maharashtra City 1",Domestic,145,1078313,121
